  No.   Prog.    Tq[Nm]   Ang.[°]    D[mm]    PT[Nm]  Time[s]   OK/NOK     Cycle #
    1      10     12.71        34    41.26      3.43     3.03       OK     1947968
    2       8     12.64        33    44.01      2.90     2.94       OK     1947967
    3       7     12.39        36    45.27      3.76     2.88       OK     1947966
    4       6     13.22        47    43.31      3.45     2.85       OK     1947965
    5       5     11.69        34   154.98      2.85     3.94       OK     1947964
    6       4     11.98        40   155.18      2.72     3.75       OK     1947963
    7       3     11.88        46   157.29      3.27     3.56       OK     1947962
    8       2     11.63        38   155.00      2.84     3.60       OK     1947961
    9       1     12.03        33   157.29      3.13     3.52       OK     1947960
   10      11     11.70        45    35.29      4.04     4.28       OK     1947959
   11      10     12.25        39    41.44      3.20     2.94       OK     1947958
   12       8     12.47        39    44.38      3.29     2.92       OK     1947957
   13       7     12.54        31    45.69      3.11     2.90       OK     1947956
   14       6     11.57        36    43.51      3.94     2.93       OK     1947955
   15       5     11.59        28   154.78      3.03     3.89       OK     1947954
   16       4     11.99        34   155.02      3.01     3.75       OK     1947953
   17       3     11.46        44   157.29      3.19     3.48       OK     1947952
   18       2     11.58        42   154.87      2.94     3.64       OK     1947951
   19       1     11.93        42   157.29      3.12     3.50       OK     1947950
   20      11     11.59        45    35.35      4.22     4.30       OK     1947949
   21      10     12.42        39    41.29      3.48     2.96       OK     1947948
   22       8     12.41        36    43.82      3.48     2.93       OK     1947947
   23       7     12.58        36    45.21      3.58     2.90       OK     1947946
   24       6     12.69        47    43.31      4.16     2.88       OK     1947945
   25       5     11.51        37   154.98      3.18     3.95       OK     1947944
   26       4     12.29        40   155.20      2.66     3.75       OK     1947943
   27       3     11.85        40   157.29      3.08     3.54       OK     1947942
   28       2     11.84        38   154.98      2.88     3.57       OK     1947941
   29       1     11.97        32   157.30      3.44     3.52       OK     1947940
   30       1      0.02     10527   157.18      0.01     6.06      T+2     1947939
   31      11     12.77        46    35.68      3.72     4.34       OK     1947938
   32      10     12.53        37    41.24      3.50     3.00       OK     1947937
   33       8     12.05        47    44.08      3.02     2.92       OK     1947936
   34       7     12.74        31    45.56      3.73     2.90       OK     1947935
   35       6     12.45        39    43.53      4.04     3.06       OK     1947934
   36       5     11.58        32   154.84      2.75     3.87       OK     1947933
